-84.0551,22.6947,-1.17
-84.0555,22.6618,-1.23
-84.0547,22.6256,-1.31
-84.0539,22.5895,-1.36
-84.0531,22.5534,-1.54
-84.0523,22.5173,-1.64
-84.0516,22.4812,-1.71
-84.0508,22.4451,-1.79
-84.0500,22.4089,-1.77
-84.0492,22.3728,-1.51
-84.0484,22.3367,-1.24
-84.0476,22.3006,-.94
-84.0468,22.2645,-.59
-84.0461,22.2283,-.35
-84.0453,22.1922,-.43
-84.0445,22.1561,-.48
-84.0437,22.1200,-.50
-84.0429,22.0839,-.48
-84.0421,22.0477,-.34
-84.0414,22.0116,-.29
-84.0406,21.9755,-.26
-84.0398,21.9394,-.24
-84.0392,21.9123,-.25
-84.0242,22.7051,-1.09
-84.0166,22.6625,-1.06
-84.0158,22.6264,-1.26
-84.0150,22.5903,-1.44
-84.0142,22.5541,-1.56
-84.0135,22.5180,-1.64
-84.0127,22.4819,-1.70
-84.0119,22.4458,-1.64
-84.0111,22.4097,-1.53
-84.0104,22.3735,-1.16
-84.0096,22.3374,-1.00
-84.0088,22.3013,-.81
-84.0080,22.2652,-.65
-84.0073,22.2291,-.56
-84.0065,22.1929,-.70
-84.0057,22.1568,-.58
-84.0049,22.1207,-.35
-84.0042,22.0846,-.35
-84.0034,22.0485,-.23
-84.0026,22.0123,-.32
-84.0018,21.9762,-.20
-84.0011,21.9401,-.33
-84.0144,21.9171,-.34
-83.9619,22.6898,-.80
-83.9777,22.6632,-.61
-83.9769,22.6271,-1.09
-83.9761,22.5910,-1.51
-83.9754,22.5549,-1.58
-83.9746,22.5187,-1.60
-83.9738,22.4826,-1.59
-83.9731,22.4465,-1.53
-83.9723,22.4104,-1.41
-83.9715,22.3743,-1.16
-83.9708,22.3381,-.68
-83.9700,22.3020,-.56
-83.9692,22.2659,-.62
-83.9685,22.2298,-.55
-83.9677,22.1937,-.71
-83.9669,22.1575,-.50
-83.9705,22.1281,-.25
-83.9784,22.0922,-.16
-83.9710,22.0596,-.15
-83.9706,22.0131,-.15
-83.9273,22.7204,-1.11
-83.9395,22.7000,-1.03
-83.9388,22.6639,-.81
-83.9380,22.6278,-1.22
-83.9372,22.5917,-1.56
-83.9365,22.5556,-1.35
-83.9357,22.5194,-1.34
-83.9350,22.4833,-1.47
-83.9342,22.4472,-1.35
-83.9334,22.4111,-1.26
-83.9327,22.3750,-1.09
-83.9319,22.3389,-.73
-83.9312,22.3027,-.68
-83.9304,22.2666,-.66
-83.9297,22.2305,-.46
-83.9289,22.1944,-.13
-83.9282,22.1615,-.06
-83.9052,22.7230,-1.29
-83.9006,22.7007,-1.28
-83.8998,22.6646,-1.24
-83.8991,22.6285,-1.44
-83.8983,22.5924,-1.61
-83.8976,22.5563,-1.32
-83.8968,22.5201,-1.32
-83.8961,22.4840,-1.39
-83.8954,22.4479,-1.27
